"","meanUmsy","lowerCI","upperCI","U1970s","U1980s","U1990s","U2000s","UAll"
"E.Stuart",0.544712792725262,0.470827107132057,0.61119566649418,0.7338141636,0.4818456053,0.3140749096,0.1776383319,0.522835295783333
"L.Stuart",0.593163486488624,0.492359400959147,0.67927074252927,0.816,0.795,0.629,0.468,0.703333333333333
"Stellako",0.625881286221852,0.546291781845133,0.699050166482241,0.815,0.816,0.641,0.414,0.703833333333333
"Bowron",0.610801183485518,0.525331664161578,0.68861840123299,0.834,0.72,0.52,0.36,0.655666666666667
"Raft",0.574638318283021,0.484365043005269,0.649944197089019,0.816,0.671,0.505,0.343,0.634833333333333
"Quesnel",0.50389874284342,0.364832134765754,0.626398115554226,0.81,0.794,0.617,0.365,0.677833333333333
"Chilko",0.712645921804653,0.645549965761369,0.771441633161713,0.815,0.79,0.631,0.396,0.679
"L.Shuswap",0.485020833990218,0.329392372979305,0.615276634747879,0.799,0.818,0.625,0.315555555555556,0.598448275862069
"Birkenhead",0.715688206399861,0.596779014823724,0.803113496267099,0.845,0.834,0.608,0.277,0.687666666666667
"Portage",0.655569271249285,0.54482651335545,0.745571427504706,0.849,0.854,0.617,0.318888888888889,0.67875
"Weaver",0.682895982082504,0.572147640254909,0.770434668542129,0.829,0.835,0.655,0.22,0.641086956521739
"Fennell",0.752419501021959,0.650765991786204,0.828387583671942,0.811,0.635,0.5,0.329,0.58
"Gates",0.535571768386848,0.424472294600924,0.630047811341518,0.821,0.677,0.581,0.388,0.610227272727273
"Nadina",0.522443400954767,0.418347634581247,0.616331454945288,0.805714285714286,0.78,0.564,0.421,0.619487179487179
"Pitt",0.629514986011638,0.533736597008894,0.708581155419188,0.772,0.561,0.382,0.247,0.563
"Harrison",0.31318760725043,0.129834323198361,0.475534312174569,0.777,0.733,0.491,0.183,0.594166666666667
