,meanSmsy,lowerCI,upperCI,S1970s,S1980s,S1990s,S2000s
Alastair,13253.15886,10671.91754,16824.25633,9436.5,14604.5,20059.5,15746
Babine-Enhanced,343896.7001,219807.7018,932458.8292,351395.2,443315.1,459327.8,537429.8571
Babine-Early-Wild,43238.96761,30082.87594,160263.5342,62186.4,42681,51383,67939.57143
Babine-Mid-Wild,18318.92813,12267.96629,196015.0612,17442.6,10818.9,15900.4,37681.42857
Babine-Late-Wild,237819.1112,150116.784,708582.0581,249797.8,218044.3,253774.2,214034.5714
Kitsumkalum,10537.34878,7357.232559,16212.42932,4555.4,2357.3,12507.83333,25543.75
Lakelse,11541.44612,8747.565413,15942.77452,7416.6,17213.8,8800.666667,7386.5
Mcdonell,1997.81192,1709.960834,2428.879448,3200,3456,NA,7503.333333
Morice,96570.77121,51169.21919,184912.2113,3425.1,6183.75,54966.16667,17581.33333
Stephens,4321.093816,3264.60274,6205.039316,6823.571429,8768.285714,8332.333333,14063.5
Swan,9749.021514,5453.182088,17821.14493,3161.75,11448.71429,4728,5759
