CU,BY,Esc,Rec,rps,ER
Igushik,1963,92184,368205.1221,3.994241105,0.210008921
Igushik,1964,128532,583059.5002,4.536298355,0.292573026
Igushik,1965,180840,810919.5276,4.484182302,0.303155626
Igushik,1966,206360,301093.4306,1.459068766,0.239254416
Igushik,1967,281772,125744.8494,0.446264531,0.239529819
Igushik,1968,194508,158922.7193,0.817049783,0.206862331
Igushik,1969,512328,476722.2269,0.930501996,0.219853234
Igushik,1970,370920,287435.6951,0.774926386,0.184969534
Igushik,1971,210960,259415.0933,1.229688535,0.265194371
Igushik,1972,60018,232049.4675,3.866331226,0.214080696
Igushik,1973,59508,451999.7666,7.595613473,0.145924382
Igushik,1974,358752,1267129.888,3.532049684,0.076285497
Igushik,1975,241086,2810903.35,11.65933878,0.093705934
Igushik,1976,186120,1354666.653,7.278458266,0.222117317
Igushik,1977,95970,830426.1578,8.652976532,0.056874701
Igushik,1978,536154,562274.9216,1.048719065,0.234713674
Igushik,1979,859560,896475.7956,1.042947317,0.267467596
Igushik,1980,1987530,443803.1667,0.22329382,0.06083041
Igushik,1981,591144,838645.2456,1.41868182,0.42227711
Igushik,1982,423768,346608.0386,0.81791933,0.146739749
Igushik,1983,180438,391104.4023,2.167527917,0.813710415
Igushik,1984,184872,522953.3884,2.828732249,0.272915929
Igushik,1985,212454,1138950.754,5.36092874,0.58676502
Igushik,1986,307728,1700596.588,5.526297859,0.302144626
Igushik,1987,169236,445514.6702,2.632505319,0.483193535
Igushik,1988,170454,614897.8177,3.607412074,0.268650841
Igushik,1989,461610,991783.6825,2.148531623,0.280410687
Igushik,1990,365802,1229497.553,3.361101232,0.3358434
Igushik,1991,756126,983938.7926,1.301289458,0.384923398
Igushik,1992,304920,139561.2387,0.457697884,0.317025709
Igushik,1993,405564,358174.4188,0.883151411,0.382285156
Igushik,1994,445920,659952.734,1.479980118,0.309045343
Igushik,1995,473382,1278256.154,2.700263537,0.29107602
Igushik,1996,400746,886426.2368,2.211940323,0.397730986
Igushik,1997,127704,99344.94299,0.777931333,0.229481472
Igushik,1998,215904,536354.0785,2.484224834,0.253034371
Igushik,1999,445536,362488.2062,0.813600262,0.244476895
Igushik,2000,413316,767785.1962,1.85762273,0.410562209
Igushik,2001,409596,490103.4507,1.196553313,0.334299136
Igushik,2002,123156,495200.7121,4.020922343,0.276853506
Igushik,2003,194088,2087758.669,10.75676327,0.450506209
Igushik,2004,109650,1835270.979,16.73753743,0.417160889
Igushik,2005,365712,1579838.181,4.319897024,0.437922698
Igushik,2006,305268,1005262.003,3.29304743,0.431534182
Igushik,2007,415452,608854.701,1.465523577,0.446817494
Igushik,2008,1054704,663699.9454,0.629276029,0.291496975
Igushik,2009,514188,941767.1439,1.831561888,0.583389805
Wood,1963,721404,1632835.69,2.263413691,0.473322735
Wood,1964,1076112,1286902.777,1.19588182,0.533229343
Wood,1965,675156,2021718.743,2.994446828,0.406120317
