"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"E.Stuart",414434.119594322,280703.654590391,623714.442976243,80707.5,120742.833333333,151541.5,48655.3333333333,85104.5
"L.Stuart",1113458.62175378,859586.031266639,1415599.61842659,59478.75,119618.583333333,349078.583333333,133761.333333333,140640.2
"Stellako",292486.242670247,171471.775225712,545040.649663315,82855.6666666667,106604.5,156383.416666667,155151.333333333,107523.65
"Bowron",24702.4790420066,13533.5932372288,90572.8658398893,9515.83333333333,5954.41666666667,8398.75,4711.33333333333,8576.08333333333
"Raft",20106.5244097022,14749.7791042957,37833.8165624177,4158.41666666667,5470.83333333333,17100,34398.9166666667,12459.8166666667
"Quesnel",804521.745873751,516769.500268487,1278908.10671565,130593.833333333,398577.833333333,906988.416666667,538525.083333333,335840.216666667
"Chilko",482768.761187478,383643.741318519,650536.727889142,217280.75,363013.833333333,761257,640482.416666667,416165.716666667
"L.Shuswap",1153150.6719212,765887.659105419,1615014.06900977,463581,942638.416666667,714560,1655034.4,787684.879310345
"Birkenhead",95672.0633040008,70009.3764203156,164804.496143833,92616.75,137155.666666667,130102.333333333,105485.583333333,97151.45
"Portage",121007.29382273,84754.924331935,172895.757501713,4706.66666666667,8793.08333333333,10022.5833333333,10390.2727272727,7439.32142857143
"Weaver",507370.204854102,236294.714148773,1106422.92858969,45396.0833333333,70907.4166666667,43084.9166666667,41810.8333333333,50424.0869565217
"Fennell",7377.61316430439,5420.06340310027,12286.206953316,3256.25,9661.25,11619.25,7285.75,6915.21276595745
"Gates",148705.326016771,98636.5576963295,223971.892379379,6454,15419.6666666667,27938.25,21322.8333333333,16072.9545454545
"Nadina",681112.304605605,341075.78971104,1351925.29766764,15166.4444444444,16317.5,35592.5833333333,35648.0833333333,21633.5897435897
"Pitt",25401.6649074834,20349.8187677081,35972.035335408,21956,18232.1666666667,37885.25,55593.1666666667,28089.4166666667
"Harrison",1504090.33687011,79526.3220958072,20945812586635.2,10415.0833333333,5404.75,8249.16666666667,219967.25,53234.0833333333
