"","meanUmsy","lowerCI","upperCI","U1970s","U1980s","U1990s","U2000s","UAll"
"E.Stuart",0.541659969057233,0.46781074676885,0.608485131901316,0.7338141636,0.4818456053,0.3140749096,0.1776383319,0.522835295783333
"L.Stuart",0.59032320097233,0.489291624286933,0.677255421730495,0.816,0.795,0.629,0.468,0.703333333333333
"Stellako",0.623295748685459,0.543242765790194,0.697267674058617,0.815,0.816,0.641,0.414,0.703833333333333
"Bowron",0.608087525035741,0.522248619334671,0.686713431039162,0.834,0.72,0.52,0.36,0.655666666666667
"Raft",0.571693220693233,0.481312752780337,0.647596996304588,0.816,0.671,0.505,0.343,0.634833333333333
"Quesnel",0.500816494633226,0.362430387582201,0.623817277223191,0.81,0.794,0.617,0.365,0.677833333333333
"Chilko",0.711017160001294,0.643156459518539,0.770144509159517,0.815,0.79,0.631,0.396,0.679
"L.Shuswap",0.481967109638055,0.327284583038213,0.612599146920679,0.799,0.818,0.625,0.315555555555556,0.598448275862069
"Birkenhead",0.714092203037334,0.59396257945872,0.801375748943923,0.845,0.834,0.608,0.277,0.687666666666667
"Portage",0.653282916286116,0.541773957060466,0.744232825544649,0.849,0.854,0.617,0.318888888888889,0.67875
"Weaver",0.680923398032146,0.56919068224244,0.769140946169139,0.829,0.835,0.655,0.22,0.641086956521739
"Fennell",0.751114190923637,0.64842757379069,0.825557196596023,0.811,0.635,0.5,0.329,0.58
"Gates",0.532500917951462,0.421661251062605,0.627500714961431,0.821,0.677,0.581,0.388,0.610227272727273
"Nadina",0.519358415107918,0.415572067690421,0.61366272363326,0.805714285714286,0.78,0.564,0.421,0.619487179487179
"Pitt",0.626962903260161,0.53066294520319,0.706907527517457,0.772,0.561,0.382,0.247,0.563
"Harrison",0.311221795559214,0.129391258119998,0.472504111413256,0.777,0.733,0.491,0.183,0.594166666666667
