"stock","alpha","beta"
"Alastair",1.14570478398097,3.61714556518587e-05
"Azuklotz",1.62986909735099,0.000191902994849174
"Babine-Enhanced",1.85202390539165,2.00794626410635e-06
"Babine-Early-Wild",1.03033239257865,1.00510153107206e-05
"Babine-Mid-Wild",1.10571791588457,2.47631514907833e-05
"Babine-Late-Wild",1.14402135786954,2.0397619841696e-06
"Kitsumkalum",1.17534734754127,4.68348902152607e-05
"Lakelse",1.00848384966411,3.73325130629788e-05
"Mcdonell",1.58083936518529,0.000306943928436851
"Morice",1.41123824828636,6.03439082298431e-06
"Stephens",2.13495061333613,0.00017263622512643
"Swan",1.2084630309129,5.19066531388317e-05
