"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"Alastair",13336.1584292404,10742.7059928155,16928.2316844071,10858.5,15184,17968.8,13561.25,20883.5531914894
"Babine-Enhanced",344898.638824352,220412.014697065,936605.579927438,365835.166666667,435065.25,484129.083333333,559844.125,391871.479166667
"Babine-Early-Wild",43507.424582726,30250.4686945572,161170.835801748,58334.0833333333,42238.0833333333,69265.8333333333,70016.875,57804.125
"Babine-Mid-Wild",18431.5543442522,12333.125868011,197271.189374998,16064.1666666667,11713.6666666667,18900.3333333333,35469,21226.4583333333
"Babine-Late-Wild",239260.521348484,150937.593398515,713292.154503648,234028.416666667,234324.083333333,278346.916666667,210407.75,247723.104166667
"Kitsumkalum",10600.1374084446,7398.09608123081,16315.8793543496,3948.16666666667,3104.91666666667,13971,25033.6,7323.46666666667
"Lakelse",11615.7536856567,8805.30790411594,16046.5927357224,9945.91666666667,15683.4166666667,8841,7386.5,16886.1794871795
"Mcdonell",2006.25642413802,1717.2669111137,2440.91368592473,2810,3456,NA,7503.33333333333,3569.07142857143
"Morice",97101.9172777504,51427.996965664,185767.846053457,3137.16666666667,16101.9,48499.5714285714,17581.3333333333,14240.9761904762
"Stephens",4333.29018195126,3283.18108715747,6225.06675390903,6795.22222222222,8788.25,10686.75,14063.5,7655.91428571429
"Swan",9806.14281354447,5486.79304716929,17915.9069859633,4274.83333333333,11448.7142857143,6522.5,5759,7000.13636363636
