"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"Alastair",13253.1588592719,10671.917543277,16824.2563318664,9436.5,14604.5,20059.5,13561.25,20883.5531914894
"Babine-Enhanced",343896.700079565,219807.701769627,932458.829159484,351395.2,443315.1,459327.8,559844.125,391871.479166667
"Babine-Early-Wild",43238.967608592,30082.8759370747,160263.534248212,62186.4,42681,51383,70016.875,57804.125
"Babine-Mid-Wild",18318.9281318431,12267.9662915464,196015.061200742,17442.6,10818.9,15900.4,35469,21226.4583333333
"Babine-Late-Wild",237819.111231586,150116.783990969,708582.058076272,249797.8,218044.3,253774.2,210407.75,247723.104166667
"Kitsumkalum",10537.348782661,7357.23255944331,16212.4293241845,4555.4,2357.3,12507.8333333333,25033.6,7323.46666666667
"Lakelse",11541.4461232975,8747.56541279933,15942.7745190491,7416.6,17213.8,8800.66666666667,7386.5,16886.1794871795
"Mcdonell",1997.81191951354,1709.9608336028,2428.87944797044,3200,3456,NA,7503.33333333333,3569.07142857143
"Morice",96570.7712082705,51169.2191881806,184912.211304646,3425.1,6183.75,54966.1666666667,17581.3333333333,14240.9761904762
"Stephens",4321.09381592322,3264.60273965068,6205.03931603514,6823.57142857143,8768.28571428571,8332.33333333333,14063.5,7655.91428571429
"Swan",9749.02151447195,5453.18208757052,17821.1449322138,3161.75,11448.7142857143,4728,5759,7000.13636363636
