"","meanUmsy","lowerCI","upperCI","U1970s","U1980s","U1990s","U2000s","UAll"
"Alastair",0.483995546060439,0.364733801159596,0.588342735147256,0.4177,0.3875,0.478875,0.346,0.409857142857143
"Babine-Enhanced",0.685631807787057,0.506587989625185,0.82400062577575,0.5913,0.5631,0.5925,0.517625,0.566791666666667
"Babine-Early-Wild",0.445571709201723,0.214024826297495,0.622466477503404,0.5062,0.4809,0.525,0.431625,0.4865625
"Babine-Mid-Wild",0.476983922036449,0.224372558507478,0.646779927039465,0.5667,0.5379,0.5646,0.4665,0.537
"Babine-Late-Wild",0.479623444054423,0.294304275477507,0.653613386436843,0.605,0.6083,0.6341,0.51275,0.589458333333333
"Kitsumkalum",0.493286671414633,0.378927796602541,0.597517438587709,0.5056,0.4793,0.543,0.3926,0.484121951219512
"Lakelse",0.436457206121708,0.293916556507304,0.554965684330033,0.2664,0.2633,0.344666666666667,0.1845,0.263314285714286
"Mcdonell",0.618644342636574,0.501828293946791,0.709964219111516,0.265166666666667,0.2526,NA,0.232666666666667,0.250125
"Morice",0.56927902331157,0.405697059205987,0.699475132791158,0.6171,0.6975,0.597833333333333,0.348666666666667,0.600324324324324
"Stephens",0.74772230537499,0.575285117000421,0.86829304950342,0.458142857142857,0.433857142857143,0.419666666666667,0.344,0.427741935483871
"Swan",0.504836829177728,0.289468651790331,0.670942933308168,0.4195,0.433857142857143,0.137,0.344,0.406142857142857
