CU,BY,ER,Esc,male_spawn,female_spawn,mature_spawn,effective_spawn,R2.1,R3.1,R3.2,R4.1,R4.2,R4.3,R5.2,R5.3,R6.2,R6.3,R.no.jacks,Rec,Use
E.Stuart,1952,0.837128563,33582,13388,16803,30191,15483,0,0,28,0,78012,0,10560,0,0,0,88572,88600,y
E.Stuart,1953,0.853044044,154312,66131,87905,154036,78332,0,0,294,0,537711,0,2886,0,0,0,540597,540891,y
E.Stuart,1954,0.855055083,35058,16714,18336,35050,18010,0,0,341,0,154781,0,701,0,0,0,155482,155823,y
E.Stuart,1955,0.876423225,2170,689,1470,2159,1397,0,0,11,0,25824,0,1632,0,0,0,27456,27467,y
E.Stuart,1956,0.731628571,25157,8132,16888,25020,16662,0,0,0,0,101035,0,6393,2966,0,0,110394,110394,y
E.Stuart,1957,0.571653434,235033,114245,120605,234850,119278,0,0,730,0,1215763,23,3272,3148,0,0,1222183,1222936,y
E.Stuart,1958,0.753867328,38812,15701,23106,38807,22196,0,0,755,0,102112,0,240,0,0,0,102352,103107,y
E.Stuart,1959,0.899340245,2670,1331,1339,2670,1297,0,0,0,0,14682,0,6153,0,0,0,20835,20835,y
E.Stuart,1960,0.658049812,14572,5822,8625,14447,7401,0,0,22,0,69925,0,4202,0,0,0,74127,74149,y
E.Stuart,1961,0.837631681,199136,90112,108809,198921,87809,0,0,630,0,252123,0,2208,881,0,0,255212,255842,y
E.Stuart,1962,0.753842185,26716,11881,14835,26716,14075,0,0,0,0,67661,0,5992,2132,0,0,75785,75785,y
E.Stuart,1963,0.691261225,4628,1703,2904,4607,2590,0,0,332,0,90397,0,1825,0,0,0,92222,92554,y
E.Stuart,1964,0.579300192,2421,1050,1340,2390,1300,0,0,1027,0,25940,0,12949,2971,0,0,41860,42887,y
E.Stuart,1965,0.910094606,23045,9075,13970,23045,11242,0,0,432,0,415253,0,1526,0,0,0,416779,417211,y
E.Stuart,1966,0.846925795,10859,4434,6396,10830,5959,0,0,1746,0,83040,0,0,0,0,0,83040,84786,y
E.Stuart,1967,0.786400869,21069,9264,11780,21044,11167,0,0,423,0,326142,0,13128,0,0,0,339270,339693,y
E.Stuart,1968,0.945182784,1587,619,903,1522,793,0,0,11,0,10412,0,0,0,0,0,10412,10423,y
E.Stuart,1969,0.745682128,109818,50034,59621,109655,48687,0,0,648,0,1366181,76,4452,4237,0,0,1374870,1375594,y
E.Stuart,1970,0.593347208,32747,14322,18256,32578,15806,0,0,1212,0,178232,0,1312,1380,0,0,180924,182136,y
E.Stuart,1971,0.705833655,95942,44725,51215,95940,45612,0,0,311,0,423510,0,6993,396,0,0,430899,431210,y
E.Stuart,1972,0.802166525,5086,2170,2487,4657,2253,0,0,25,0,32207,0,0,0,0,0,32207,32232,y
E.Stuart,1973,0.780488822,300653,143948,155944,299892,153870,0,0,4591,0,1342456,67,3951,1017,0,0,1347424,1352082,y
E.Stuart,1974,0.788584482,39659,17059,22474,39533,21603,0,0,1242,0,141307,0,2218,477,0,0,144002,145244,y
E.Stuart,1975,0.810538196,65780,32597,33168,65765,26248,0,0,150,0,220007,0,2852,76,0,0,222935,223085,y
E.Stuart,1976,0.702975048,12648,4773,6988,11761,6792,0,0,43,0,28800,0,3034,0,0,0,31834,31877,y
E.Stuart,1977,0.912514824,118017,45034,72411,117445,53381,0,0,572,0,752467,0,8655,0,0,0,761122,761694,y
E.Stuart,1978,0.658150743,50097,22052,27952,50004,20005,0,0,202,0,71470,0,1180,0,0,0,72650,72852,y
E.Stuart,1979,0.583542133,92763,44323,48423,92746,36172,0,0,34,0,89807,0,17889,206,0,0,107902,107936,y
E.Stuart,1980,0.466118255,17026,7081,9858,16939,7361,0,0,10,0,37950,0,25541,0,0,0,63491,63501,y
E.Stuart,1981,0.82864748,138072,57937,80094,138031,67227,0,0,46,0,331290,0,18805,0,0,0,350095,350141,y
E.Stuart,1982,0.839263651,4560,1934,2623,4557,2158,0,0,13,0,26796,0,1007,0,0,0,27803,27816,y
E.Stuart,1983,0.737690684,23874,8548,15319,23867,13121,0,0,423,0,176760,4,10949,760,0,0,188469,188896,y
E.Stuart,1984,0.193487376,45247,20614,24587,45201,21868,0,0,240,0,209867,12,29536,2385,0,0,241788,242040,y
E.Stuart,1985,0.342771067,237544,107451,130081,237532,116610,0,0,2414,0,1179879,0,26057,527,0,0,1206463,1208877,y
E.Stuart,1986,0.373157895,29004,12741,15843,28584,15219,0,0,56,0,128280,0,17603,3,0,0,145886,145942,y
E.Stuart,1987,0.16635821,148438,65510,82684,148194,75970,0,0,8,0,494847,0,31065,0,0,0,525912,525920,y
E.Stuart,1988,0.188505021,182129,88798,91009,179807,88069,0,0,33,0,319342,0,59894,0,0,663,379899,379932,y
E.Stuart,1989,0.682456414,384819,162699,222100,384799,211039,0,0,420,0,1091749,0,45932,688,0,0,1138369,1138789,y
E.Stuart,1990,0.373422013,97049,48123,48912,97035,47063,0,0,2,0,156963,0,9121,0,0,0,166084,166086,y
E.Stuart,1991,0.724620599,141152,53912,87207,141119,85454,0,0,514,0,129192,0,14581,172,0,0,143945,144459,y
E.Stuart,1992,0.488885781,66520,24699,41399,66098,36564,0,0,10,0,80797,0,19569,0,0,0,100366,100376,y
E.Stuart,1993,0.402621298,688015,296301,391712,688013,386816,0,0,847,0,1652166,0,161770,0,0,0,1813936,1814783,y
E.Stuart,1994,0.227246689,29519,13311,15814,29125,14498,0,0,6,0,27990,0,1034,0,0,0,29024,29030,y
E.Stuart,1995,0.111859009,122862,57658,65198,122856,57322,0,0,20,0,170595,0,18985,0,0,0,189580,189600,y
E.Stuart,1996,0.083526949,88453,44410,43202,87612,41063,0,0,0,0,359206,0,104940,0,0,0,464146,464146,y
E.Stuart,1997,0.461620463,266946,176537,90404,266941,73417,0,0,1,0,109249,0,38121,201,0,0,147571,147572,y
E.Stuart,1998,0.110771864,32590,15889,16681,32570,9375,0,0,2,0,24341,0,4349,0,0,0,28690,28692,y
E.Stuart,1999,0.156174431,24550,14925,9627,24552,8189,0,0,0,0,25927,0,4639,0,0,0,30566,30566,y
E.Stuart,2000,0.597469714,89859,49915,39943,89858,35334,0,0,0,0,132457,0,3417,0,0,0,135874,135874,y
E.Stuart,2001,0.202067362,170983,81762,89219,170981,82849,0,,5,,216279,,35722,,,,252001,252006,y
E.Stuart,2002,0.091234062,24637,11229,13408,24637,12939,0,,,,20266,,4300,,,19,24585,24585,y
E.Stuart,2003,0.038344916,13166,5990,7176,13166,6932,0,,,,8431,,1588,12,0,0,10031,10031,y
E.Stuart,2004,0.297271632,9286,3907,5374,9281,5253,0,,,,32387,,5077,0,0,0,37464,37464,y
E.Stuart,2005,0.097841562,98537,46983,51554,98537,51183,,,49,0,76119,0,7844,1020,0,0,84983,85032,y
E.Stuart,2006,0.136705145,35816,18013,17803,35816,15914,,0,0,0,96013,0,10603,0,0,0,106616,106616,y
E.Stuart,2007,0.076284884,5347,2579,2768,5347,2376,,0,0,0,10551,0,147,0,0,0,10698,10698,y
