Stock,CU,Hist_avg,SD,CV
E.Stuart,Takla_Trembleur_Estu,778000,165000,0.212082262
L.Stuart,Takla_Trembleur_Stuart_S,1900000,193000,0.101578947
Stellako,Francois_Fraser_S,600000,201000,0.335
Bowron,Bowron_ES,40000,NA,1
Raft,Kamloops_ES,445000,NA,1
Quesnel,Quesnel_S,1115000,315000,0.282511211
Chilko,Chilko_S_and_Chilko_ES_agg.,483000,161000,0.333333333
L.Shuswap,Shuswap_Complex_L,1900000,319000,0.167894737
Birkenhead,Lillooet_Harrison_L,164000,NA,1
Cultus,Cultus_L,85000,17000,0.2
Portage,Seton_L,188000,31000,0.164893617
Weaver,Harrison_(U/S)_L,811000,316000,0.389642417
Fennell,North_Barriere_ES,6915,NA,10
Gates,Anderson_Seton_ES,286000,54000,0.188811189
Nadina,Nadina_Francois_ES,1350000,453000,0.335555556
Pitt,Pitt_ES,115000,NA,1
Harrison,Harrison_River_Ð_River_Type,53234,NA,10
