#MaxStocks				
19				
CU	prSmax	prCV		
Alastair	23437	0.3		
Asitika	422	0.3		
Azuklotz	5933	0.3		
Babine-Enhanced	500000	1		
Babine-Early-Wild	500000	1		
Babine-Mid-Wild	500000	1		
Babine-Late-Wild	500000	1		
Bear	40532	0.3		
Damshilgwit	2000	0.3		
Johnston	4125	0.3		
Kitsumkalum	20531	0.3		
Kitwancool	36984	0.3		
Lakelse	35916	0.3		
Mcdonell	4072	0.3		
Morice	191362	0.3		
Motase	1764	0.3		
SkeenaRivHigh	71744	0.3		
Stephens	7069	0.3		
Swan	21432	0.3		
CU	BY	Esc	Rec	ER
Alastair	1954	41814	NA	NA
Alastair	1955	41814	25801	NA
Alastair	1956	50855	43020	NA
Alastair	1957	96060	33869	NA
Alastair	1958	96060	19906	NA
Alastair	1959	50855	15140	NA
Alastair	1960	7911	29683	0.394
Alastair	1961	29948	43428	0.373
Alastair	1962	22478	58506	0.407
Alastair	1963	20342	42236	0.25
Alastair	1964	4294	11089	0.394
Alastair	1965	17856	7106	0.335
Alastair	1966	18986	8665	0.464
Alastair	1967	28253	15693	0.509
Alastair	1968	33903	13346	0.451
Alastair	1969	6781	5902	0.37
Alastair	1970	5086	5877	0.373
Alastair	1971	2599	17523	0.405
Alastair	1972	9041	30537	0.415
Alastair	1973	9041	35576	0.462
Alastair	1974	3955	44412	0.501
Alastair	1975	1356	38235	0.312
Alastair	1976	6781	11392	0.423
Alastair	1977	15822	20659	0.427
Alastair	1978	20342	17977	0.444
Alastair	1979	20342	14659	0.415
Alastair	1980	33903	23677	0.438
Alastair	1981	2034	28249	0.424
Alastair	1982	10736	20725	0.484
Alastair	1983	14691	28163	0.287
Alastair	1984	9041	24355	0.35
Alastair	1985	9041	29347	0.413
Alastair	1986	23732	41245	0.364
Alastair	1987	11301	35461	0.241
Alastair	1988	14691	29218	0.496
Alastair	1989	16875	29182	0.378
Alastair	1990	11301	45404	0.432
Alastair	1991	24862	60673	0.44
Alastair	1992	18082	44892	0.519
Alastair	1993	16952	12388	0.468
Alastair	1994	14691	7021	0.396
Alastair	1995	19212	14486	0.475
Alastair	1996	28253	13861	0.535
Alastair	1997	27123	19865	0.566
Alastair	1998	12431	NA	0.241
Alastair	1999	2260	NA	0.137
Alastair	2000	7007	13422	0.44
Alastair	2001	12205	17633	0.33
Alastair	2002	4520	20926	0.378
Alastair	2003	30513	11700	0.236
Alastair	2005	14858	NA	0.135
Alastair	2006	5425	NA	0.299
Alastair	2007	24862	NA	0.26
Alastair	2008	1264	NA	0.246
Alastair	2009	24297	NA	0.081
Alastair	2010	38085	NA	0.089
Asitika	1957	400	NA	NA
Asitika	1958	400	NA	NA
Asitika	1961	600	NA	0.495
Asitika	1964	500	NA	0.523
Asitika	1966	600	NA	0.616
Asitika	1968	600	899	0.598
Asitika	1970	100	NA	0.495
Asitika	1972	100	NA	0.551
Asitika	1973	600	NA	0.614
Asitika	1974	2	730	0.665
Asitika	1978	600	NA	0.59
Asitika	1980	100	NA	0.582
Asitika	1987	100	NA	0.359
Asitika	1990	260	NA	0.56
Asitika	1992	800	NA	0.609
Asitika	1993	700	NA	0.571
Asitika	1999	400	NA	0.175
Asitika	2000	600	NA	0.608
Asitika	2001	1400	NA	0.481
Asitika	2005	250	NA	0.275
Asitika	2007	320	NA	0.361
Asitika	2008	114	NA	0.383
Asitika	2009	780	NA	0.151
Asitika	2010	1020	NA	0.163
Azuklotz	1954	2000	NA	NA
Azuklotz	1955	1000	NA	NA
Azuklotz	1956	1500	4185	NA
Azuklotz	1957	50	5132	NA
Azuklotz	1958	400	9680	NA
Azuklotz	1959	7000	11554	NA
Azuklotz	1960	3000	5711	0.523
Azuklotz	1961	1178	1018	0.495
Azuklotz	1962	3000	976	0.541
Azuklotz	1963	8000	NA	0.332
Azuklotz	1964	6000	NA	0.523
Azuklotz	1965	400	NA	0.444
Azuklotz	1966	400	NA	0.616
Azuklotz	1967	300	NA	0.676
Azuklotz	1968	400	NA	0.598
Azuklotz	1970	100	NA	0.495
Azuklotz	1973	4000	NA	0.614
Azuklotz	1975	2100	NA	0.414
Azuklotz	1976	200	NA	0.561
Azuklotz	1978	2000	NA	0.59
Azuklotz	1980	1500	3045	0.582
Azuklotz	1981	400	4734	0.563
Azuklotz	1984	600	8122	0.49
Azuklotz	1985	2000	4654	0.551
Azuklotz	1986	2000	10980	0.516
Azuklotz	1987	8000	12980	0.359
Azuklotz	1988	6000	NA	0.606
Azuklotz	1989	1400	NA	0.506
Azuklotz	1990	2000	NA	0.56
Azuklotz	1991	6800	16509	0.581
Azuklotz	1992	4200	12041	0.609
Azuklotz	1993	5000	6556	0.571
Azuklotz	1995	8000	7940	0.613
Azuklotz	1996	4500	5099	0.681
Azuklotz	1997	3600	2556	0.683
Azuklotz	1998	1400	3001	0.38
Azuklotz	1999	8000	NA	0.175
Azuklotz	2000	2800	NA	0.608
Azuklotz	2001	2000	NA	0.481
Azuklotz	2002	600	NA	0.508
Azuklotz	2003	3000	NA	0.337
Azuklotz	2004	1200	NA	0.343
Azuklotz	2008	6106	NA	0.383
Azuklotz	2009	3342	NA	0.151
Babine-Enhanced	1960	78262	379264	0.557
Babine-Enhanced	1961	276734	367017	0.529
Babine-Enhanced	1962	136862	423628	0.578
Babine-Enhanced	1963	241061	684673	0.355
Babine-Enhanced	1964	306324	175416	0.558
Babine-Enhanced	1965	207236	316062	0.475
Babine-Enhanced	1966	80044	606479	0.661
Babine-Enhanced	1967	167718	914722	0.724
Babine-Enhanced	1968	147571	606687	0.637
Babine-Enhanced	1969	148885	1163489	0.522
Babine-Enhanced	1970	224536	621484	0.527
Babine-Enhanced	1971	313244	1329073	0.574
Babine-Enhanced	1972	283389	1272492	0.59
Babine-Enhanced	1973	337492	1399639	0.658
Babine-Enhanced	1974	235408	369300	0.711
Babine-Enhanced	1975	465933	2136943	0.441
Babine-Enhanced	1976	338263	517095	0.596
Babine-Enhanced	1977	591788	4860611	0.603
Babine-Enhanced	1978	171267	1359817	0.629
Babine-Enhanced	1979	552632	1066226	0.584
Babine-Enhanced	1980	178863	3457846	0.615
Babine-Enhanced	1981	697207	1895829	0.595
Babine-Enhanced	1982	441473	1112804	0.673
Babine-Enhanced	1983	427789	1426826	0.496
Babine-Enhanced	1984	486395	3717285	0.539
Babine-Enhanced	1985	518259	1972872	0.583
Babine-Enhanced	1986	298412	1779757	0.558
Babine-Enhanced	1987	452629	1241608	0.4
Babine-Enhanced	1988	496753	2441584	0.629
Babine-Enhanced	1989	435371	2277981	0.543
Babine-Enhanced	1990	458633	2421974	0.61
Babine-Enhanced	1991	328999	4751219	0.632
Babine-Enhanced	1992	516297	5737822	0.671
Babine-Enhanced	1993	512122	1184241	0.634
Babine-Enhanced	1994	564623	80302	0.572
Babine-Enhanced	1995	637049	757543	0.672
Babine-Enhanced	1996	582946	5449210	0.753
Babine-Enhanced	1997	441132	583688	0.739
Babine-Enhanced	1998	219484	1486198	0.422
Babine-Enhanced	1999	331993	536315	0.22
Babine-Enhanced	2000	716744	1083967	0.714
Babine-Enhanced	2001	499527	930956	0.723
Babine-Enhanced	2002	385619	3215892	0.544
Babine-Enhanced	2003	607748	443912	0.372
Babine-Enhanced	2004	547464	1804034	0.402
Babine-Enhanced	2005	456391	382869	0.334
Babine-Enhanced	2006	636579	368686	0.593
Babine-Enhanced	2007	628681	82421	0.459
Babine-Enhanced	2008	497117	NA	0.569
Babine-Enhanced	2009	448164	NA	0.233
Babine-Enhanced	2010	441100	NA	0.242
Babine-Early-Wild	1960	42485	72548	0.478
Babine-Early-Wild	1961	133007	65444	0.451
Babine-Early-Wild	1962	21587	155896	0.493
Babine-Early-Wild	1963	77002	250921	0.303
Babine-Early-Wild	1964	68409	80399	0.477
Babine-Early-Wild	1965	29888	133401	0.405
Babine-Early-Wild	1966	31977	133147	0.562
Babine-Early-Wild	1967	95242	123688	0.617
Babine-Early-Wild	1968	62457	154254	0.546
Babine-Early-Wild	1969	89905	337419	0.449
Babine-Early-Wild	1970	82164	139821	0.452
Babine-Early-Wild	1971	34049	111287	0.49
Babine-Early-Wild	1972	52692	76919	0.503
Babine-Early-Wild	1973	140253	97163	0.56
Babine-Early-Wild	1974	109851	24151	0.607
Babine-Early-Wild	1975	60353	134038	0.378
Babine-Early-Wild	1976	13336	25273	0.512
Babine-Early-Wild	1977	54679	276210	0.518
Babine-Early-Wild	1978	32032	66203	0.539
Babine-Early-Wild	1979	42455	33705	0.503
Babine-Early-Wild	1980	31679	133291	0.531
Babine-Early-Wild	1981	46466	84726	0.514
Babine-Early-Wild	1982	93630	43266	0.587
Babine-Early-Wild	1983	26965	49075	0.411
Babine-Early-Wild	1984	26503	103524	0.431
Babine-Early-Wild	1985	75649	41344	0.494
Babine-Early-Wild	1986	26865	92344	0.479
Babine-Early-Wild	1987	38206	92101	0.313
Babine-Early-Wild	1988	42435	93142	0.57
Babine-Early-Wild	1989	18412	55689	0.479
Babine-Early-Wild	1990	21328	94352	0.503
Babine-Early-Wild	1991	58719	180552	0.508
Babine-Early-Wild	1992	52358	362659	0.582
Babine-Early-Wild	1993	16646	133638	0.59
Babine-Early-Wild	1994	25124	12133	0.49
Babine-Early-Wild	1995	79679	88147	0.585
Babine-Early-Wild	1996	60909	626364	0.698
Babine-Early-Wild	1997	92245	62841	0.691
Babine-Early-Wild	1998	43130	95885	0.373
Babine-Early-Wild	1999	63692	32141	0.23
Babine-Early-Wild	2000	84558	66224	0.628
Babine-Early-Wild	2001	232802	41271	0.486
Babine-Early-Wild	2002	29324	143734	0.491
Babine-Early-Wild	2003	55028	15656	0.325
Babine-Early-Wild	2004	39546	62134	0.338
Babine-Early-Wild	2005	25141	15675	0.309
Babine-Early-Wild	2006	40874	15130	0.549
Babine-Early-Wild	2007	52862	3376	0.327
Babine-Early-Wild	2008	28667	NA	0.441
Babine-Early-Wild	2009	20503	NA	0.229
Babine-Early-Wild	2010	20455	NA	0.238
Babine-Mid-Wild	1960	12298	43945	0.535
Babine-Mid-Wild	1961	33657	31914	0.505
Babine-Mid-Wild	1962	16828	57333	0.552
Babine-Mid-Wild	1963	56280	164448	0.339
Babine-Mid-Wild	1964	35960	43276	0.534
Babine-Mid-Wild	1965	11094	44038	0.454
Babine-Mid-Wild	1966	15196	23864	0.629
Babine-Mid-Wild	1967	24201	27215	0.691
Babine-Mid-Wild	1968	55410	40646	0.611
Babine-Mid-Wild	1969	32575	115641	0.502
Babine-Mid-Wild	1970	7423	56491	0.506
Babine-Mid-Wild	1971	8381	56885	0.549
Babine-Mid-Wild	1972	10277	29915	0.563
Babine-Mid-Wild	1973	32179	25872	0.627
Babine-Mid-Wild	1974	38189	7949	0.679
Babine-Mid-Wild	1975	28686	63200	0.423
Babine-Mid-Wild	1976	8022	8427	0.574
Babine-Mid-Wild	1977	15573	30188	0.58
Babine-Mid-Wild	1978	3931	11835	0.603
Babine-Mid-Wild	1979	21765	10704	0.563
Babine-Mid-Wild	1980	11166	37758	0.594
Babine-Mid-Wild	1981	7178	19064	0.575
Babine-Mid-Wild	1982	4827	14067	0.657
Babine-Mid-Wild	1983	8904	25953	0.465
Babine-Mid-Wild	1984	8065	58079	0.499
Babine-Mid-Wild	1985	17229	17665	0.555
Babine-Mid-Wild	1986	3874	45416	0.533
Babine-Mid-Wild	1987	15786	26441	0.369
Babine-Mid-Wild	1988	23459	53579	0.614
Babine-Mid-Wild	1989	7701	32460	0.518
Babine-Mid-Wild	1990	7395	12773	0.57
Babine-Mid-Wild	1991	24980	23276	0.589
Babine-Mid-Wild	1992	8426	111756	0.634
Babine-Mid-Wild	1993	21962	53480	0.621
Babine-Mid-Wild	1994	7560	4500	0.536
Babine-Mid-Wild	1995	6555	28437	0.637
Babine-Mid-Wild	1996	7975	151661	0.737
Babine-Mid-Wild	1997	34660	33179	0.716
Babine-Mid-Wild	1998	16545	119590	0.394
Babine-Mid-Wild	1999	22946	47653	0.212
Babine-Mid-Wild	2000	19982	90695	0.631
Babine-Mid-Wild	2001	47818	30260	0.56
Babine-Mid-Wild	2002	24573	46759	0.531
Babine-Mid-Wild	2003	83151	6520	0.356
Babine-Mid-Wild	2004	51747	37848	0.37
Babine-Mid-Wild	2005	31371	8245	0.318
Babine-Mid-Wild	2006	12515	5011	0.567
Babine-Mid-Wild	2007	12595	1001	0.399
Babine-Mid-Wild	2008	12744	NA	0.49
Babine-Mid-Wild	2009	18341	NA	0.226
Babine-Mid-Wild	2010	6065	NA	0.237
Babine-Late-Wild	1960	112920	494052	0.571
Babine-Late-Wild	1961	467457	709843	0.54
Babine-Late-Wild	1962	354597	916064	0.59
Babine-Late-Wild	1963	193636	1328535	0.362
Babine-Late-Wild	1964	396889	385645	0.57
Babine-Late-Wild	1965	313242	623007	0.485
Babine-Late-Wild	1966	243131	917454	0.672
Babine-Late-Wild	1967	296655	1181562	0.738
Babine-Late-Wild	1968	267415	491435	0.653
Babine-Late-Wild	1969	345342	1098212	0.537
Babine-Late-Wild	1970	327830	447989	0.541
Babine-Late-Wild	1971	436876	484395	0.586
Babine-Late-Wild	1972	309504	424647	0.601
Babine-Late-Wild	1973	236140	404368	0.67
Babine-Late-Wild	1974	291444	136840	0.725
Babine-Late-Wild	1975	118485	1162590	0.451
Babine-Late-Wild	1976	163137	158226	0.612
Babine-Late-Wild	1977	199711	771090	0.619
Babine-Late-Wild	1978	57402	232011	0.644
Babine-Late-Wild	1979	357449	257929	0.601
Babine-Late-Wild	1980	197031	1391349	0.635
Babine-Late-Wild	1981	113332	838070	0.614
Babine-Late-Wild	1982	159595	362881	0.702
Babine-Late-Wild	1983	103027	367447	0.583
Babine-Late-Wild	1984	204447	788737	0.607
Babine-Late-Wild	1985	623637	521581	0.608
Babine-Late-Wild	1986	167437	1133431	0.622
Babine-Late-Wild	1987	237400	1446533	0.468
Babine-Late-Wild	1988	241974	2189214	0.65
Babine-Late-Wild	1989	132563	1014969	0.594
